Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
1226484,KU-RING-GAI,1/04/2015,12:53 AM,415,57,Environmental
1226485,SUTHERLAND,1/04/2015,1:11 AM,1407,69,Environmental
1226488,SYDNEY,1/04/2015,2:34 AM,87,"1,436",Equipment fault
1226537,HORNSBY,1/04/2015,7:42 AM,2289,60,Equipment fault
1226677,LEICHHARDT,1/04/2015,11:44 AM,2315,134,Cable dig
1226742,SUTHERLAND,1/04/2015,1:44 PM,55,251,Environmental
1226713,CESSNOCK,1/04/2015,3:10 PM,346,125,Equipment fault
1226827,WARRINGAH,1/04/2015,3:12 PM,1482,84,Environmental
1226940,MANLY,2/04/2015,3:47 AM,27984,101,Environmental
1226959,NEWCASTLE,2/04/2015,7:07 AM,124,43,Environmental
1227407,WYONG,3/04/2015,6:50 AM,326,10,Third party
1227435,HORNSBY,3/04/2015,10:00 AM,698,38,Environmental
1228879,NEWCASTLE,4/04/2015,12:01 AM,793,77,Equipment fault
1227583,LANE COVE,4/04/2015,9:40 AM,75,803,Equipment fault
1227635,CANADA BAY,4/04/2015,12:18 PM,75,102,Environmental
1227716,WYONG,4/04/2015,4:32 PM,149,359,Environmental
1227579,WARRINGAH,4/04/2015,8:30 PM,54,30,Environmental
1227781,GOSFORD,4/04/2015,11:41 PM,281,207,Environmental
1227924,GOSFORD,5/04/2015,10:55 PM,1304,93,Equipment fault
1227928,NEWCASTLE,6/04/2015,2:49 AM,1619,136,Equipment fault
1228003,GOSFORD,6/04/2015,2:29 PM,273,91,Environmental
1228251,MUSWELLBROOK,6/04/2015,2:32 PM,67,150,Environmental
1228005,SINGLETON,6/04/2015,2:41 PM,51,103,Third party
1228032,MUSWELLBROOK,6/04/2015,4:28 PM,51,165,Equipment fault
1228060,BANKSTOWN,6/04/2015,6:10 PM,60,45,Equipment fault
1228124,ASHFIELD,7/04/2015,3:23 AM,5962,49,Equipment fault
1228131,CESSNOCK,7/04/2015,6:07 AM,54,418,Environmental
1228442,HORNSBY,7/04/2015,12:55 PM,1402,98,Environmental
1228459,WYONG,7/04/2015,1:11 PM,1189,89,Environmental
1228485,LAKE MACQUARIE,7/04/2015,1:34 PM,319,161,Environmental
1228569,KU-RING-GAI,7/04/2015,2:52 PM,612,55,Environmental
1228673,KU-RING-GAI,7/04/2015,6:50 PM,53,160,Environmental
1228688,SUTHERLAND,8/04/2015,2:12 AM,5203,92,Equipment fault
1228691,LAKE MACQUARIE,8/04/2015,2:12 AM,976,109,Equipment fault
1228772,LAKE MACQUARIE,8/04/2015,8:23 AM,95,107,Environmental
1228944,KU-RING-GAI,8/04/2015,11:54 AM,612,34,Equipment fault
1228950,KU-RING-GAI,8/04/2015,12:05 PM,57,220,Environmental
1228989,HORNSBY,8/04/2015,12:45 PM,2180,7,Environmental
1228998,LAKE MACQUARIE,8/04/2015,12:55 PM,95,125,Equipment fault
1229133,MARRICKVILLE,8/04/2015,3:24 PM,57,162,Third party
1229352,HORNSBY,9/04/2015,11:23 AM,52,87,Environmental
1229504,MANLY,9/04/2015,2:49 PM,136,131,Environmental
1229617,SUTHERLAND,9/04/2015,9:53 PM,90,116,Environmental
1229888,LEICHHARDT,10/04/2015,1:31 PM,68,113,Environmental
1230023,HORNSBY,11/04/2015,8:15 AM,1028,116,Cable dig
1230114,SYDNEY,11/04/2015,2:55 PM,120,102,Environmental
1230147,WYONG,11/04/2015,10:06 PM,1580,85,Third party
1230192,HORNSBY,12/04/2015,9:48 AM,1338,73,Environmental
1230194,UPPER HUNTER,12/04/2015,9:51 AM,138,99,Third party
1230195,HURSTVILLE,12/04/2015,9:54 AM,62,129,Environmental
1230228,KU-RING-GAI,12/04/2015,12:35 PM,1005,40,Environmental
1230276,UPPER HUNTER,12/04/2015,11:26 PM,54,394,Environmental
1230395,WILLOUGHBY,13/04/2015,9:57 AM,453,81,Cable dig
1230485,BANKSTOWN,13/04/2015,10:22 AM,1755,126,Equipment fault
1230534,NEWCASTLE,13/04/2015,12:54 PM,73,37,Third party
1230542,MUSWELLBROOK,13/04/2015,1:32 PM,72,133,Equipment fault
1230641,LAKE MACQUARIE,13/04/2015,3:58 PM,1584,129,Third party
1230717,BOTANY,14/04/2015,6:30 AM,617,50,Equipment fault
1230854,SYDNEY,14/04/2015,10:05 AM,231,472,Equipment fault
1230989,KOGARAH,14/04/2015,2:02 PM,71,78,Equipment fault
1230987,KOGARAH,14/04/2015,2:02 PM,54,238,Equipment fault
1231046,NORTH SYDNEY,14/04/2015,3:20 PM,522,71,Equipment fault
1231101,BANKSTOWN,14/04/2015,6:40 PM,1006,63,Environmental
1231130,WYONG,15/04/2015,6:12 AM,68,211,Equipment fault
1231361,HORNSBY,15/04/2015,1:22 PM,58,72,Third party
1231493,KU-RING-GAI,15/04/2015,8:44 PM,740,106,Equipment fault
1231520,HORNSBY,16/04/2015,1:57 AM,369,129,Environmental
1231579,SINGLETON,16/04/2015,8:27 AM,56,118,Environmental
1231746,SUTHERLAND,16/04/2015,12:31 PM,1037,49,Equipment fault
1231888,HORNSBY,16/04/2015,6:24 PM,369,107,Equipment fault
1231890,LAKE MACQUARIE,16/04/2015,6:41 PM,98,54,Environmental
1231915,HORNSBY,17/04/2015,3:26 AM,300,86,Environmental
1231919,HORNSBY,17/04/2015,6:40 AM,85,65,Environmental
1232192,BANKSTOWN,17/04/2015,6:28 PM,1000,88,Environmental
1232202,CESSNOCK,17/04/2015,9:05 PM,99,117,Equipment fault
