Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
917524,SINGLETON,1/01/2013,3:48 PM,1200,36,Environmental
917542,SUTHERLAND,1/01/2013,5:50 PM,113,207,Environmental
917546,BANKSTOWN,1/01/2013,5:53 PM,80,107,Environmental
917583,LANE COVE,1/01/2013,10:52 PM,1218,85,Equipment fault
917590,MAITLAND,2/01/2013,2:36 AM,932,130,Equipment fault
917646,BANKSTOWN,2/01/2013,8:59 AM,1283,61,Equipment fault
918897,BANKSTOWN,2/01/2013,10:03 AM,56,57,Environmental
917904,BANKSTOWN,2/01/2013,7:28 PM,80,124,Equipment fault
917920,BANKSTOWN,2/01/2013,10:02 PM,80,107,Equipment fault
918232,BANKSTOWN,4/01/2013,3:29 AM,69,92,Equipment fault
918447,ROCKDALE,4/01/2013,2:38 PM,59,102,Equipment fault
918547,PORT STEPHENS,4/01/2013,11:12 PM,815,50,Environmental
918614,KU-RING-GAI,5/01/2013,3:07 PM,78,203,Environmental
918613,CANTERBURY,5/01/2013,3:19 PM,1000,32,Equipment fault
918619,WYONG,5/01/2013,3:52 PM,64,68,Equipment fault
918696,SYDNEY,6/01/2013,8:21 AM,80,38,Equipment fault
918713,ASHFIELD,6/01/2013,10:35 AM,68,69,Environmental
918729,HORNSBY,6/01/2013,11:45 AM,913,53,Environmental
918742,ASHFIELD,6/01/2013,12:28 PM,115,206,Equipment fault
918761,ASHFIELD,6/01/2013,3:12 PM,1055,43,Equipment fault
918693,GOSFORD,6/01/2013,3:19 PM,124,71,Equipment fault
918782,ASHFIELD,6/01/2013,5:58 PM,123,217,Environmental
918803,LAKE MACQUARIE,6/01/2013,9:27 PM,65,178,Environmental
918818,UPPER HUNTER,7/01/2013,9:49 AM,255,105,Equipment fault
918933,SYDNEY,7/01/2013,10:38 AM,62,12,Environmental
918943,WOOLLAHRA,7/01/2013,10:59 AM,85,"1,005",Equipment fault
919221,WYONG,8/01/2013,5:01 AM,1050,83,Equipment fault
919227,MUSWELLBROOK,8/01/2013,6:26 AM,59,258,Environmental
919229,LAKE MACQUARIE,8/01/2013,6:59 AM,119,182,Environmental
919285,BOTANY,8/01/2013,9:20 AM,315,82,Equipment fault
919353,GOSFORD,8/01/2013,10:49 AM,94,41,Environmental
919396,ROCKDALE,8/01/2013,11:50 AM,1537,86,Equipment fault
919446,SUTHERLAND,8/01/2013,12:39 PM,1226,114,Equipment fault
920142,PITTWATER,8/01/2013,1:00 PM,51,120,Environmental
919468,WARRINGAH,8/01/2013,1:17 PM,2097,35,Environmental
919505,GOSFORD,8/01/2013,2:07 PM,1119,150,Equipment fault
919508,ROCKDALE,8/01/2013,2:13 PM,682,54,Equipment fault
919515,MANLY,8/01/2013,2:20 PM,1832,104,Equipment fault
919532,SUTHERLAND,8/01/2013,2:30 PM,565,135,Equipment fault
