,,,,,,
Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
1060734,GOSFORD,1/01/2014,7:01 AM,294,88,Equipment fault
1060757,KU-RING-GAI,1/01/2014,10:08 AM,74,41,Environmental
1060782,KU-RING-GAI,1/01/2014,1:31 PM,83,59,Equipment fault
1060793,WARRINGAH,1/01/2014,4:22 PM,2137,61,Equipment fault
1060818,NEWCASTLE,1/01/2014,9:45 PM,61,105,Third party
1060904,WYONG,2/01/2014,11:16 AM,85,151,Equipment fault
1060945,SYDNEY,2/01/2014,1:03 PM,141,60,Equipment fault
1060998,WYONG,2/01/2014,3:17 PM,88,133,Environmental
1061102,WYONG,3/01/2014,3:57 AM,927,47,Environmental
1061114,HORNSBY,3/01/2014,6:08 AM,185,167,Environmental
1061351,CANTERBURY,3/01/2014,11:45 AM,49,65,Equipment fault
1061358,RANDWICK,3/01/2014,3:16 PM,67,203,Equipment fault
1061434,MOSMAN,4/01/2014,12:10 AM,78,76,Environmental
1061440,SUTHERLAND,4/01/2014,2:35 AM,91,"1,085",Equipment fault
1061445,GOSFORD,4/01/2014,3:10 AM,1405,124,Environmental
1061471,WAVERLEY,4/01/2014,8:04 AM,2965,45,Equipment fault
1061480,WOOLLAHRA,4/01/2014,8:04 AM,82,45,Equipment fault
1061579,LAKE MACQUARIE,5/01/2014,5:18 AM,829,64,Environmental
1061602,LEICHHARDT,5/01/2014,10:22 AM,1078,56,Equipment fault
1061632,LAKE MACQUARIE,5/01/2014,2:54 PM,121,45,Environmental
1061643,SYDNEY,5/01/2014,4:46 PM,99,178,Environmental
1061705,NORTH SYDNEY,6/01/2014,2:54 AM,88,61,Environmental
1061707,HUNTERS HILL,6/01/2014,4:04 AM,1248,80,Environmental
1061982,SINGLETON,6/01/2014,5:06 PM,225,84,Environmental
1062041,MARRICKVILLE,7/01/2014,2:55 AM,97,230,Environmental
1062955,WILLOUGHBY,7/01/2014,7:11 AM,52,58,Environmental
1062088,BANKSTOWN,7/01/2014,8:03 AM,97,287,3rd Party
1062008,UPPER HUNTER,7/01/2014,11:40 AM,51,5,Equipment fault
1062376,NORTH SYDNEY,7/01/2014,6:23 PM,621,47,Equipment fault
1062452,HORNSBY,8/01/2014,1:48 AM,120,564,Equipment fault
1062431,BOTANY,8/01/2014,5:01 AM,51,184,Third party
1062646,CESSNOCK,8/01/2014,11:45 AM,175,145,Equipment fault
1062718,MARRICKVILLE,8/01/2014,1:15 PM,54,341,Cable dig
1062824,MANLY,8/01/2014,10:59 PM,2141,37,Environmental
1062836,RYDE,9/01/2014,3:43 AM,136,252,Equipment fault
1062838,LAKE MACQUARIE,9/01/2014,5:06 AM,656,45,Equipment fault
1063208,LAKE MACQUARIE,10/01/2014,1:25 AM,881,120,Equipment fault
1063217,NORTH SYDNEY,10/01/2014,2:28 AM,102,142,Equipment fault
1063218,LAKE MACQUARIE,10/01/2014,4:10 AM,63,90,Environmental
1063220,WYONG,10/01/2014,4:24 AM,945,33,Equipment fault
1063381,NEWCASTLE,10/01/2014,11:36 AM,1893,29,Third party
1063590,WYONG,11/01/2014,12:09 AM,193,137,Environmental
1063594,BANKSTOWN,11/01/2014,1:21 AM,91,84,Equipment fault
1063598,RYDE,11/01/2014,1:50 AM,735,40,Environmental
1063668,MAITLAND,11/01/2014,3:47 PM,470,82,Equipment fault
1063677,KU-RING-GAI,11/01/2014,4:12 PM,78,93,Equipment fault
1063698,MOSMAN,11/01/2014,6:09 PM,124,386,Environmental
1063711,SYDNEY,11/01/2014,7:51 PM,111,54,Environmental
1063775,ASHFIELD,12/01/2014,11:59 AM,1889,73,Equipment fault
1063831,SUTHERLAND,13/01/2014,1:23 AM,745,91,Environmental
1063832,RYDE,13/01/2014,4:39 AM,3110,74,Environmental
1063955,LAKE MACQUARIE,13/01/2014,11:25 AM,349,210,Equipment fault
1064052,MOSMAN,13/01/2014,12:10 PM,124,55,Environmental
1064226,RYDE,13/01/2014,3:46 PM,970,47,Equipment fault
1064319,MANLY,13/01/2014,8:44 PM,202,223,Environmental
1064330,ROCKDALE,14/01/2014,5:28 AM,363,67,Equipment fault
1064360,RYDE,14/01/2014,8:32 AM,136,63,Equipment fault
1064510,CANTERBURY,14/01/2014,10:58 AM,82,76,Environmental
1064569,AUBURN,14/01/2014,12:42 PM,282,59,Equipment fault
1064611,SUTHERLAND,14/01/2014,1:50 PM,60,45,Environmental
1064632,MAITLAND,14/01/2014,2:01 PM,85,79,Environmental
1064650,GOSFORD,14/01/2014,2:53 PM,1507,52,Environmental
1064990,KU-RING-GAI,15/01/2014,12:09 PM,657,58,Equipment fault
1065035,WILLOUGHBY,15/01/2014,1:09 PM,63,90,Environmental
1065190,WAVERLEY,15/01/2014,5:56 PM,74,44,Environmental
1066657,RYDE,15/01/2014,8:52 PM,60,5,Environmental
1065238,SUTHERLAND,15/01/2014,10:22 PM,81,86,Environmental
1065243,KOGARAH,16/01/2014,2:14 AM,2341,60,Environmental
1065246,WYONG,16/01/2014,3:37 AM,81,53,Equipment fault
1065249,WARRINGAH,16/01/2014,4:31 AM,2473,111,Equipment fault
1065251,BANKSTOWN,16/01/2014,6:16 AM,489,58,Environmental
1065324,WYONG,16/01/2014,9:10 AM,2077,68,Equipment fault
1065555,BANKSTOWN,16/01/2014,2:48 PM,240,87,Equipment fault
1065561,BANKSTOWN,16/01/2014,2:55 PM,102,130,Third party
1065589,HURSTVILLE,16/01/2014,3:30 PM,51,89,Environmental
1065598,PITTWATER,16/01/2014,3:32 PM,323,70,Environmental
1065728,SYDNEY,16/01/2014,10:24 PM,119,153,Environmental
1065721,HORNSBY,16/01/2014,11:00 PM,117,266,Third party
1065738,WARRINGAH,17/01/2014,4:01 AM,934,70,Environmental
1065852,NORTH SYDNEY,17/01/2014,10:26 AM,91,"1,028",Equipment fault
1066046,WOOLLAHRA,17/01/2014,4:10 PM,148,"1,190",Equipment fault
1066091,WILLOUGHBY,17/01/2014,9:00 PM,604,66,Equipment fault
1066536,MANLY,18/01/2014,12:06 AM,87,134,Equipment fault
1066581,MANLY,18/01/2014,12:06 AM,103,134,Equipment fault
1066129,WILLOUGHBY,18/01/2014,7:36 AM,899,66,Third party
1066114,MANLY,18/01/2014,11:25 AM,292,85,Equipment fault
1066177,MANLY,18/01/2014,11:30 AM,81,90,Equipment fault
1066269,WARRINGAH,18/01/2014,9:20 PM,56,58,Environmental
1066277,MOSMAN,19/01/2014,1:36 AM,2100,64,Equipment fault
1066268,SUTHERLAND,19/01/2014,5:01 AM,620,119,Equipment fault
1066353,SINGLETON,19/01/2014,3:58 PM,225,55,Environmental
1066355,WARRINGAH,19/01/2014,4:30 PM,74,25,Environmental
1066395,SUTHERLAND,19/01/2014,10:38 PM,634,65,Environmental
1071239,RYDE,20/01/2014,6:41 AM,91,24,Operating fault
1066708,NEWCASTLE,20/01/2014,11:39 AM,102,349,Equipment fault
1066924,BANKSTOWN,20/01/2014,4:14 PM,1849,73,Environmental
1066979,KOGARAH,20/01/2014,5:47 PM,2341,45,Equipment fault
1067111,KU-RING-GAI,20/01/2014,11:21 PM,888,41,Environmental
1067167,HORNSBY,21/01/2014,1:53 AM,1438,169,Environmental
1067727,UPPER HUNTER,21/01/2014,7:51 PM,321,181,Environmental
1067861,SUTHERLAND,22/01/2014,8:59 AM,392,40,Equipment fault
1067933,MUSWELLBROOK,22/01/2014,10:16 AM,200,252,Equipment fault
1068192,HURSTVILLE,22/01/2014,4:30 PM,59,70,Environmental
1068465,WILLOUGHBY,23/01/2014,11:08 AM,1327,104,Third party
1068828,PITTWATER,23/01/2014,12:30 PM,88,20,Third party
1068650,WILLOUGHBY,23/01/2014,2:14 PM,847,125,Equipment fault
1069108,HURSTVILLE,24/01/2014,5:38 PM,76,71,Environmental
1069155,SUTHERLAND,24/01/2014,8:46 PM,636,37,Equipment fault
1069232,CANADA BAY,25/01/2014,8:13 AM,57,93,Equipment fault
1069248,ROCKDALE,25/01/2014,9:08 AM,616,42,Environmental
1069264,GOSFORD,25/01/2014,10:28 AM,78,12,Environmental
1069301,GOSFORD,25/01/2014,1:27 PM,137,53,Third party
1069326,HURSTVILLE,25/01/2014,2:32 PM,2371,216,Equipment fault
1069358,WAVERLEY,25/01/2014,4:15 PM,62,85,Equipment fault
1069347,NEWCASTLE,25/01/2014,4:30 PM,111,35,Environmental
1069393,WAVERLEY,25/01/2014,6:07 PM,62,742,Equipment fault
1069602,NEWCASTLE,27/01/2014,6:47 PM,1816,38,Directed to interrupt
1069605,NEWCASTLE,27/01/2014,6:53 PM,257,24,Directed to interrupt
1069630,SUTHERLAND,28/01/2014,12:41 AM,295,124,Equipment fault
1069635,LAKE MACQUARIE,28/01/2014,4:04 AM,75,116,Environmental
1070049,ROCKDALE,28/01/2014,5:00 PM,117,145,Operating fault
1070110,GOSFORD,28/01/2014,8:32 PM,2110,35,Environmental
1070091,GOSFORD,28/01/2014,8:48 PM,264,64,Equipment fault
1070136,GOSFORD,28/01/2014,9:53 PM,422,54,Equipment fault
1070090,RANDWICK,28/01/2014,10:00 PM,116,40,Equipment fault
1070144,CANTERBURY,29/01/2014,5:59 AM,75,210,Equipment fault
1070158,MANLY,29/01/2014,7:16 AM,52,233,Equipment fault
1070166,SUTHERLAND,29/01/2014,7:57 AM,995,67,Equipment fault
1070238,WYONG,29/01/2014,9:17 AM,941,45,Environmental
1070381,SUTHERLAND,29/01/2014,11:43 AM,112,77,Equipment fault
1070508,SUTHERLAND,29/01/2014,2:42 PM,64,412,Equipment fault
1070561,LANE COVE,29/01/2014,4:31 PM,143,63,Environmental
1070602,HURSTVILLE,29/01/2014,5:48 PM,63,62,Equipment fault
1070608,MID-WESTERN REG,29/01/2014,6:13 PM,92,131,Equipment fault
1070702,MOSMAN,30/01/2014,9:21 AM,117,24,Operating fault
1071399,WYONG,30/01/2014,3:54 PM,941,40,Environmental
1071041,KU-RING-GAI,30/01/2014,6:08 PM,1719,97,Environmental
1071097,SUTHERLAND,30/01/2014,11:12 PM,830,46,Equipment fault
1071377,WARRINGAH,31/01/2014,2:08 PM,2109,93,Environmental
1071429,WYONG,31/01/2014,3:19 PM,942,8,Equipment fault
1071495,BANKSTOWN,31/01/2014,5:28 PM,168,142,Environmental
1071508,NORTH SYDNEY,31/01/2014,5:56 PM,76,143,Equipment fault
1071534,WILLOUGHBY,31/01/2014,8:20 PM,65,60,Equipment fault
1071579,MOSMAN,1/02/2014,9:24 AM,84,143,Equipment fault
1071590,CANADA BAY,1/02/2014,12:50 PM,60,25,Environmental
1071624,MOSMAN,1/02/2014,1:30 PM,96,431,Equipment fault
1071685,ROCKDALE,1/02/2014,9:44 PM,501,113,Equipment fault
1071694,UPPER HUNTER,2/02/2014,5:38 AM,55,158,Equipment fault
1071746,WYONG,2/02/2014,11:42 AM,225,81,Environmental
1071775,LEICHHARDT,2/02/2014,4:24 PM,50,60,Equipment fault
1072006,LANE COVE,3/02/2014,11:43 AM,1592,58,Cable dig
1072284,WARRINGAH,3/02/2014,10:58 PM,5031,52,Environmental
1072288,WAVERLEY,4/02/2014,4:24 AM,81,92,Environmental
1072566,LEICHHARDT,4/02/2014,12:31 PM,60,78,Equipment fault
1072579,WAVERLEY,4/02/2014,12:47 PM,81,123,Equipment fault
1072652,WYONG,4/02/2014,2:37 PM,598,13,Environmental
1072685,WYONG,4/02/2014,2:53 PM,1635,81,Equipment fault
1072737,WYONG,4/02/2014,3:47 PM,78,72,Environmental
1072815,GOSFORD,4/02/2014,5:16 PM,1474,26,Environmental
1072837,PITTWATER,4/02/2014,5:51 PM,323,80,Environmental
1072880,SINGLETON,4/02/2014,8:12 PM,176,79,Directed to interrupt
1072911,SINGLETON,5/02/2014,7:18 AM,77,386,Equipment fault
1073331,SYDNEY,5/02/2014,5:19 PM,204,44,Equipment fault
1073367,HUNTERS HILL,5/02/2014,8:20 PM,63,"1,249",Equipment fault
1073400,AUBURN,6/02/2014,7:12 AM,88,196,Cable dig
1073902,WOOLLAHRA,6/02/2014,10:50 AM,323,5,Environmental
1073557,PITTWATER,6/02/2014,11:13 AM,53,63,Third party
1073833,GOSFORD,6/02/2014,6:09 PM,59,66,Equipment fault
1073846,BURWOOD,6/02/2014,7:11 PM,792,90,Equipment fault
1073868,MANLY,7/02/2014,2:32 AM,2141,52,Environmental
1074088,KU-RING-GAI,7/02/2014,1:57 PM,260,263,Equipment fault
1074216,NORTH SYDNEY,7/02/2014,8:55 PM,465,125,Equipment fault
1074239,PORT STEPHENS,8/02/2014,4:03 AM,1427,42,Environmental
1074242,SINGLETON,8/02/2014,5:55 AM,171,182,Equipment fault
1074447,AUBURN,9/02/2014,6:14 PM,109,286,Equipment fault
1074471,MANLY,10/02/2014,12:28 AM,2141,31,Environmental
1074475,HUNTERS HILL,10/02/2014,3:56 AM,1187,71,Environmental
1074476,SUTHERLAND,10/02/2014,4:13 AM,1301,49,Environmental
