,,,,,,
Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
1194873,PITTWATER,1/01/2015,3:50 PM,69,15,Environmental
1194902,UPPER HUNTER,1/01/2015,4:58 PM,686,44,Equipment fault
1194947,UPPER HUNTER,1/01/2015,9:07 PM,57,251,Environmental
1194970,GOSFORD,2/01/2015,12:50 AM,836,195,Environmental
1194982,CESSNOCK,2/01/2015,2:48 AM,908,283,Equipment fault
1194981,GOSFORD,2/01/2015,2:53 AM,481,66,Environmental
1195027,CESSNOCK,2/01/2015,2:55 AM,98,648,Equipment fault
1195066,NORTH SYDNEY,2/01/2015,9:15 AM,953,49,Equipment fault
1195127,MARRICKVILLE,2/01/2015,11:40 AM,892,72,Equipment fault
1195281,BANKSTOWN,2/01/2015,9:31 PM,58,204,Equipment fault
1195284,GOSFORD,2/01/2015,9:45 PM,9050,77,Equipment fault
1195441,KU-RING-GAI,3/01/2015,5:07 PM,1367,49,Environmental
1195466,KU-RING-GAI,3/01/2015,6:48 PM,926,97,Environmental
1195464,SYDNEY,3/01/2015,8:00 PM,195,32,Environmental
1195506,BANKSTOWN,3/01/2015,9:21 PM,1111,45,Environmental
1195524,MUSWELLBROOK,4/01/2015,1:03 AM,26,167,Environmental
1195545,GOSFORD,4/01/2015,8:34 AM,330,34,Equipment fault
1195657,BANKSTOWN,4/01/2015,7:17 PM,13261,2,Equipment fault
1195694,MUSWELLBROOK,4/01/2015,8:00 PM,460,92,Environmental
1195727,ASHFIELD,4/01/2015,11:09 PM,2222,160,Equipment fault
1195759,WARRINGAH,5/01/2015,6:29 AM,76,330,Equipment fault
1195898,LEICHHARDT,5/01/2015,11:34 AM,89,199,Cable dig
1196063,SYDNEY,5/01/2015,4:36 PM,313,51,Equipment fault
1196122,SUTHERLAND,5/01/2015,8:12 PM,90,73,Environmental
1196660,GOSFORD,6/01/2015,11:30 AM,61,9,Environmental
1196573,NEWCASTLE,6/01/2015,10:06 PM,1014,75,Environmental
1196677,SYDNEY,7/01/2015,9:55 AM,638,58,Equipment fault
1196803,RYDE,7/01/2015,12:56 PM,171,135,Environmental
1196871,HORNSBY,7/01/2015,2:47 PM,67,193,Environmental
1196918,CESSNOCK,7/01/2015,3:38 PM,1890,34,Equipment fault
1196912,CESSNOCK,7/01/2015,4:00 PM,315,158,Equipment fault
1196948,HURSTVILLE,7/01/2015,7:47 PM,56,83,Environmental
1196988,KU-RING-GAI,7/01/2015,8:07 PM,52,223,Environmental
1197169,WYONG,8/01/2015,12:21 PM,933,55,Equipment fault
1197216,ROCKDALE,8/01/2015,1:25 PM,495,223,Environmental
1197296,SUTHERLAND,8/01/2015,4:46 PM,55,29,Environmental
1197319,GOSFORD,8/01/2015,5:51 PM,1725,50,Environmental
1197325,BANKSTOWN,8/01/2015,6:19 PM,837,72,Equipment fault
1197467,GOSFORD,9/01/2015,10:15 AM,414,85,Environmental
1197563,MARRICKVILLE,9/01/2015,1:38 PM,2530,66,Equipment fault
1197613,HURSTVILLE,9/01/2015,3:34 PM,1215,112,Equipment fault
1197633,WYONG,9/01/2015,4:03 PM,148,65,Equipment fault
1197681,WAVERLEY,9/01/2015,6:45 PM,83,52,Equipment fault
1197706,GOSFORD,9/01/2015,8:25 PM,523,145,Equipment fault
1197731,WARRINGAH,10/01/2015,3:24 AM,79,104,Environmental
1197912,HURSTVILLE,10/01/2015,9:26 PM,69,59,Environmental
