,,,,,,
Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
989038,KU-RING-GAI,1/07/2013,10:27 AM,89,688,Equipment fault
990062,MARRICKVILLE,1/07/2013,6:56 PM,71,124,Equipment fault
989374,MARRICKVILLE,1/07/2013,6:56 PM,139,124,Equipment fault
989378,GOSFORD,1/07/2013,7:16 PM,171,67,Equipment fault
989401,GOSFORD,2/07/2013,3:00 AM,848,188,Equipment fault
989729,NORTH SYDNEY,2/07/2013,2:34 PM,218,132,Third party
989738,BURWOOD,2/07/2013,2:47 PM,1068,61,Equipment fault
990121,KU-RING-GAI,3/07/2013,10:09 AM,68,109,Third party
990179,KU-RING-GAI,3/07/2013,12:11 PM,722,71,Environmental
990366,STRATHFIELD,3/07/2013,6:14 PM,52,116,Third party
990400,WOOLLAHRA,4/07/2013,3:15 AM,61,204,Third party
990465,WYONG,4/07/2013,9:30 AM,65,259,Equipment fault
990583,GOSFORD,4/07/2013,11:34 AM,2021,66,Equipment fault
990635,LAKE MACQUARIE,4/07/2013,12:42 PM,1068,96,Environmental
990739,RANDWICK,4/07/2013,2:47 PM,64,193,Third party
990857,BANKSTOWN,5/07/2013,12:32 AM,1547,31,Equipment fault
990858,WARRINGAH,5/07/2013,12:47 AM,1139,78,Equipment fault
990861,SYDNEY,5/07/2013,6:07 AM,52,113,Equipment fault
991161,SYDNEY,5/07/2013,3:50 PM,95,145,Environmental
991199,BANKSTOWN,5/07/2013,4:59 PM,122,96,Equipment fault
991226,RYDE,5/07/2013,7:09 PM,531,90,Environmental
991250,WARRINGAH,5/07/2013,8:40 PM,96,124,Equipment fault
991268,SUTHERLAND,6/07/2013,2:32 AM,1703,84,Equipment fault
991287,SUTHERLAND,6/07/2013,7:36 AM,95,329,Equipment fault
991404,WILLOUGHBY,6/07/2013,12:42 PM,294,106,Equipment fault
991409,GOSFORD,6/07/2013,12:58 PM,72,97,Equipment fault
991436,WYONG,6/07/2013,2:39 PM,149,67,Third party
991487,HORNSBY,6/07/2013,6:59 PM,1081,140,Environmental
991497,SYDNEY,6/07/2013,7:38 PM,263,129,Equipment fault
991517,CANTERBURY,7/07/2013,3:53 AM,1807,54,Equipment fault
991628,CESSNOCK,7/07/2013,6:20 PM,251,158,Equipment fault
991641,WARRINGAH,7/07/2013,6:55 PM,2123,56,Environmental
991656,PORT STEPHENS,7/07/2013,7:53 PM,104,175,Equipment fault
991664,WILLOUGHBY,7/07/2013,9:45 PM,75,50,Equipment fault
991666,SUTHERLAND,7/07/2013,9:52 PM,70,81,Environmental
991681,SUTHERLAND,8/07/2013,1:30 AM,70,639,Equipment fault
991687,WILLOUGHBY,8/07/2013,6:24 AM,283,52,Equipment fault
991882,CESSNOCK,8/07/2013,11:26 AM,39,212,Environmental
992143,MARRICKVILLE,8/07/2013,7:10 PM,64,140,Equipment fault
992145,MARRICKVILLE,8/07/2013,7:10 PM,90,140,Equipment fault
992163,WILLOUGHBY,9/07/2013,6:03 AM,67,67,Environmental
992936,ASHFIELD,9/07/2013,9:54 AM,53,74,Third party
992384,PORT STEPHENS,9/07/2013,11:50 AM,1277,10,Operating fault
992509,AUBURN,9/07/2013,3:18 PM,669,106,Equipment fault
992613,SYDNEY,9/07/2013,6:20 PM,299,334,Equipment fault
990803,HORNSBY,9/07/2013,6:50 PM,132,125,Operating fault
992632,SYDNEY,9/07/2013,7:31 PM,216,969,Equipment fault
992651,RANDWICK,9/07/2013,10:04 PM,105,115,Environmental
993136,UPPER HUNTER,10/07/2013,7:31 AM,4164,4,Environmental
992625,SYDNEY,10/07/2013,9:04 AM,127,76,Equipment fault
992782,CANTERBURY,10/07/2013,10:32 AM,94,73,Equipment fault
992980,HURSTVILLE,10/07/2013,3:22 PM,95,153,Environmental
993045,WAVERLEY,10/07/2013,6:20 PM,57,15,Customer installation
993108,BANKSTOWN,11/07/2013,8:15 AM,74,71,Environmental
993684,KU-RING-GAI,12/07/2013,10:37 AM,1346,78,Equipment fault
993884,CANTERBURY,12/07/2013,4:59 PM,59,226,Equipment fault
993935,RYDE,13/07/2013,1:39 AM,362,70,Equipment fault
993942,MOSMAN,13/07/2013,3:35 AM,78,350,Equipment fault
993999,LAKE MACQUARIE,13/07/2013,11:01 AM,53,380,Third party
994168,LAKE MACQUARIE,14/07/2013,12:27 PM,1367,60,Equipment fault
993126,CANADA BAY,15/07/2013,9:46 AM,25160,95,Environmental
994764,WILLOUGHBY,15/07/2013,7:15 PM,67,54,Environmental
994766,CANTERBURY,15/07/2013,7:45 PM,566,59,Equipment fault
994794,BANKSTOWN,16/07/2013,6:28 AM,985,42,Environmental
994845,NORTH SYDNEY,16/07/2013,8:44 AM,146,38,Third party
995284,PITTWATER,16/07/2013,11:05 PM,349,626,Equipment fault
995430,RYDE,17/07/2013,11:14 AM,51,150,Environmental
996227,WYONG,17/07/2013,12:02 PM,2146,5,Operating fault
995640,BANKSTOWN,17/07/2013,5:25 PM,811,108,Equipment fault
995783,CESSNOCK,18/07/2013,9:17 AM,871,92,Environmental
995779,MUSWELLBROOK,18/07/2013,9:45 AM,462,116,Environmental
995909,NEWCASTLE,18/07/2013,12:14 PM,2704,61,Equipment fault
995961,MAITLAND,18/07/2013,1:46 PM,99,249,Environmental
996080,GOSFORD,18/07/2013,6:15 PM,1978,21,Equipment fault
996282,SUTHERLAND,19/07/2013,12:27 PM,72,101,Equipment fault
996319,MARRICKVILLE,19/07/2013,1:37 PM,625,119,Cable dig
996338,LAKE MACQUARIE,19/07/2013,1:58 PM,1186,61,Environmental
996430,WARRINGAH,19/07/2013,5:46 PM,1346,85,Environmental
