Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
1125612,GOSFORD,1/07/2014,6:41 AM,886,57,Environmental
1126024,NEWCASTLE,1/07/2014,6:02 PM,106,168,Equipment fault
1126171,CANTERBURY,2/07/2014,10:03 AM,72,97,Equipment fault
1126245,SUTHERLAND,2/07/2014,11:01 AM,2121,61,Equipment fault
1126384,AUBURN,2/07/2014,1:48 PM,81,70,Equipment fault
1126571,KU-RING-GAI,3/07/2014,12:44 AM,467,74,Environmental
1126572,NEWCASTLE,3/07/2014,12:46 AM,73,75,Equipment fault
1126577,GOSFORD,3/07/2014,6:35 AM,520,208,Equipment fault
1126659,MOSMAN,3/07/2014,9:14 AM,1004,37,Equipment fault
1126681,KU-RING-GAI,3/07/2014,9:48 AM,115,167,Environmental
1126820,PORT STEPHENS,3/07/2014,12:54 PM,1846,173,Equipment fault
1127034,MUSWELLBROOK,3/07/2014,7:34 PM,63,91,Equipment fault
1127058,HURSTVILLE,4/07/2014,12:44 AM,1973,71,Environmental
1127060,HURSTVILLE,4/07/2014,1:53 AM,344,167,Equipment fault
1127326,ROCKDALE,4/07/2014,1:05 PM,1392,56,Equipment fault
1127437,CANTERBURY,4/07/2014,4:05 PM,51,145,Third party
1127633,SYDNEY,6/07/2014,4:47 AM,110,197,Environmental
1127729,NORTH SYDNEY,6/07/2014,7:08 PM,507,65,Environmental
1127749,MARRICKVILLE,7/07/2014,6:44 AM,60,546,Equipment fault
1127752,WARRINGAH,7/07/2014,7:16 AM,132,93,Equipment fault
1128141,SUTHERLAND,7/07/2014,2:46 PM,965,108,Equipment fault
1128286,NORTH SYDNEY,8/07/2014,6:51 AM,543,284,Vandalism
1128290,WARRINGAH,8/07/2014,7:22 AM,2789,12,Equipment fault
1128415,BANKSTOWN,8/07/2014,9:58 AM,134,96,Equipment fault
1128708,SUTHERLAND,8/07/2014,6:58 PM,107,48,Equipment fault
1128720,SYDNEY,8/07/2014,7:35 PM,88,260,Equipment fault
1128724,RYDE,8/07/2014,7:58 PM,126,47,Equipment fault
1128748,PORT STEPHENS,9/07/2014,7:26 AM,1418,51,Environmental
1128800,CANTERBURY,9/07/2014,8:45 AM,1676,28,Equipment fault
1128803,CANTERBURY,9/07/2014,8:45 AM,2543,89,Equipment fault
1129153,ROCKDALE,9/07/2014,5:28 PM,58,377,Equipment fault
1129189,LEICHHARDT,9/07/2014,7:27 PM,88,89,Environmental
1129191,WYONG,9/07/2014,7:31 PM,114,398,Environmental
1129465,CANTERBURY,10/07/2014,12:18 PM,51,86,Environmental
1129585,WYONG,10/07/2014,3:35 PM,67,168,Equipment fault
1129609,CANTERBURY,10/07/2014,4:14 PM,77,65,Equipment fault
1129658,KU-RING-GAI,10/07/2014,5:29 PM,58,76,Environmental
1129677,RANDWICK,10/07/2014,7:10 PM,113,35,Equipment fault
1129706,HORNSBY,11/07/2014,1:24 AM,1084,75,Equipment fault
1129715,LEICHHARDT,11/07/2014,6:48 AM,138,67,Environmental
1129917,RYDE,11/07/2014,12:07 PM,368,37,Cable dig
1130136,WARRINGAH,12/07/2014,1:51 AM,2089,192,Equipment fault
1130139,WILLOUGHBY,12/07/2014,4:09 AM,929,49,Equipment fault
1130209,RANDWICK,12/07/2014,1:15 PM,51,105,Third party
1130226,WARRINGAH,12/07/2014,3:20 PM,63,12,Equipment fault
1130129,RYDE,12/07/2014,10:21 PM,138,89,Environmental
1130284,CESSNOCK,13/07/2014,2:04 AM,85,249,Equipment fault
1130291,BOTANY,13/07/2014,6:56 AM,527,68,Equipment fault
1130301,GOSFORD,13/07/2014,7:49 AM,1765,94,Environmental
1130339,WILLOUGHBY,13/07/2014,10:09 AM,189,76,Equipment fault
1130367,WYONG,13/07/2014,12:35 PM,93,156,Equipment fault
1130404,ASHFIELD,13/07/2014,5:42 PM,116,223,Equipment fault
1130433,WOOLLAHRA,13/07/2014,7:55 PM,76,214,Equipment fault
1130444,,13/07/2014,9:52 PM,84,237,Equipment fault
1130449,HORNSBY,14/07/2014,2:20 AM,1092,69,Environmental
1130455,KU-RING-GAI,14/07/2014,5:03 AM,975,47,Environmental
1130866,WAVERLEY,14/07/2014,6:30 PM,123,890,Equipment fault
1130869,HURSTVILLE,14/07/2014,6:36 PM,582,75,Equipment fault
1131081,MUSWELLBROOK,15/07/2014,11:25 AM,91,70,Equipment fault
1131108,MARRICKVILLE,15/07/2014,11:55 AM,829,53,Equipment fault
1131307,HORNSBY,15/07/2014,7:08 PM,51,63,Equipment fault
1131310,ROCKDALE,15/07/2014,7:16 PM,65,333,Equipment fault
1131320,HORNSBY,15/07/2014,9:43 PM,1686,85,Environmental
1131684,UPPER HUNTER,16/07/2014,3:27 PM,258,81,Equipment fault
1132117,BANKSTOWN,17/07/2014,3:06 PM,1869,100,Equipment fault
1132542,CANADA BAY,18/07/2014,2:55 PM,197,314,Equipment fault
1132624,WARRINGAH,18/07/2014,6:33 PM,74,147,Third party
1132637,CANADA BAY,18/07/2014,8:43 PM,1858,114,Equipment fault
1132682,SYDNEY,19/07/2014,9:43 AM,63,46,Third party
1132766,GOSFORD,19/07/2014,2:55 PM,868,41,Environmental
1132772,HURSTVILLE,19/07/2014,4:01 PM,1108,41,Environmental
1132796,SUTHERLAND,19/07/2014,5:37 PM,52,128,Equipment fault
1132800,NORTH SYDNEY,19/07/2014,5:58 PM,163,105,Equipment fault
1132935,CESSNOCK,20/07/2014,6:21 PM,253,206,Equipment fault
1133392,SYDNEY,21/07/2014,5:28 PM,93,101,Environmental
1133436,CESSNOCK,21/07/2014,8:12 PM,70,208,Environmental
1133457,GOSFORD,22/07/2014,5:05 AM,3474,345,Equipment fault
1133462,WYONG,22/07/2014,6:41 AM,78,41,Equipment fault
1133577,MANLY,22/07/2014,10:15 AM,53,280,Third party
1133617,PORT STEPHENS,22/07/2014,10:55 AM,280,54,Third party
1133626,KU-RING-GAI,22/07/2014,11:09 AM,122,110,Third party
1133912,WARRINGAH,22/07/2014,8:36 PM,57,163,Equipment fault
1134303,CESSNOCK,23/07/2014,3:10 PM,1176,76,Environmental
1134371,WYONG,23/07/2014,5:05 PM,107,95,Equipment fault
1134387,WYONG,23/07/2014,5:56 PM,296,140,Equipment fault
1134390,HURSTVILLE,23/07/2014,6:07 PM,584,98,Equipment fault
1134403,BANKSTOWN,23/07/2014,7:50 PM,77,90,Equipment fault
1134419,MANLY,23/07/2014,8:55 PM,1636,97,Environmental
1134440,NEWCASTLE,24/07/2014,6:08 AM,97,102,Third party
1134882,WARRINGAH,24/07/2014,8:05 PM,168,114,Equipment fault
1134886,MAITLAND,24/07/2014,8:11 PM,94,258,Equipment fault
1134900,WARRINGAH,24/07/2014,10:12 PM,95,107,Equipment fault
1134906,PITTWATER,25/07/2014,7:02 AM,56,69,Third party
1134992,NEWCASTLE,25/07/2014,10:00 AM,83,96,Environmental
1135150,BANKSTOWN,25/07/2014,3:09 PM,739,112,Equipment fault
1135236,MUSWELLBROOK,25/07/2014,10:42 PM,145,278,Lightning
1135240,MUSWELLBROOK,26/07/2014,12:27 AM,190,216,Environmental
1135811,MUSWELLBROOK,26/07/2014,1:07 AM,113,2,Lightning
1135243,GOSFORD,26/07/2014,4:50 AM,1161,67,Environmental
1135255,WOOLLAHRA,26/07/2014,7:03 AM,1404,58,Equipment fault
1135844,UPPER HUNTER,26/07/2014,7:06 AM,1424,10,Environmental
1135272,GOSFORD,26/07/2014,7:37 AM,772,64,Environmental
1135305,WYONG,26/07/2014,9:51 AM,100,131,Equipment fault
1135532,NEWCASTLE,27/07/2014,4:26 PM,1512,75,Equipment fault
1135549,CANADA BAY,27/07/2014,6:25 PM,758,57,Equipment fault
1135568,BANKSTOWN,27/07/2014,8:01 PM,1522,49,Equipment fault
1135970,BANKSTOWN,28/07/2014,5:58 PM,109,152,Equipment fault
1135973,GOSFORD,28/07/2014,6:22 PM,3366,23,Equipment fault
1136013,LAKE MACQUARIE,28/07/2014,10:31 PM,1662,79,Third party
1136017,SYDNEY,28/07/2014,11:30 PM,772,52,Equipment fault
1136024,SYDNEY,29/07/2014,5:54 AM,93,127,Equipment fault
1136157,SYDNEY,29/07/2014,10:45 AM,93,50,Equipment fault
1136343,SUTHERLAND,29/07/2014,3:45 PM,55,24,Equipment fault
1136420,LAKE MACQUARIE,29/07/2014,9:21 PM,1852,48,Equipment fault
1136813,LAKE MACQUARIE,30/07/2014,8:49 PM,2113,28,Environmental
1137920,LEICHHARDT,31/07/2014,7:06 PM,1906,5,Operating fault
1137265,WYONG,1/08/2014,12:49 AM,264,67,Environmental
1137267,BOTANY,1/08/2014,2:23 AM,92,522,Third party
1137457,GOSFORD,1/08/2014,12:05 PM,64,53,Equipment fault
1137525,NEWCASTLE,1/08/2014,2:53 PM,146,154,Environmental
1137633,SUTHERLAND,2/08/2014,2:21 AM,679,67,Environmental
1137749,RANDWICK,2/08/2014,7:23 PM,844,138,Equipment fault
1137773,CESSNOCK,3/08/2014,12:13 AM,161,93,Equipment fault
1137785,WARRINGAH,3/08/2014,7:11 AM,1741,110,Equipment fault
1137747,GOSFORD,3/08/2014,10:29 AM,74,78,Equipment fault
1137845,HORNSBY,3/08/2014,1:16 PM,1067,112,Equipment fault
1137883,RYDE,3/08/2014,6:20 PM,139,75,Equipment fault
1137988,HORNSBY,4/08/2014,8:56 AM,132,184,Third party
1138286,GOSFORD,4/08/2014,4:24 PM,667,78,Equipment fault
1138644,GOSFORD,5/08/2014,1:40 PM,812,140,Equipment fault
1138734,WOOLLAHRA,5/08/2014,4:17 PM,93,747,Equipment fault
1138826,CANADA BAY,5/08/2014,10:46 PM,1058,96,Equipment fault
1138992,NORTH SYDNEY,6/08/2014,11:04 AM,80,95,Third party
1139554,MARRICKVILLE,7/08/2014,4:31 PM,82,157,Environmental
1139616,MARRICKVILLE,7/08/2014,9:46 PM,82,89,Environmental
1139741,ROCKDALE,8/08/2014,10:34 AM,1185,52,Equipment fault
1139862,NEWCASTLE,8/08/2014,2:41 PM,81,239,Equipment fault
1139964,MAITLAND,8/08/2014,10:15 PM,2463,119,Equipment fault
1139973,SUTHERLAND,9/08/2014,5:32 AM,119,378,Environmental
1139977,BANKSTOWN,9/08/2014,6:15 AM,980,68,Third party
1139981,WILLOUGHBY,9/08/2014,6:37 AM,77,823,Equipment fault
1140024,MARRICKVILLE,9/08/2014,10:11 AM,97,444,Third party
1140027,LAKE MACQUARIE,9/08/2014,10:13 AM,157,37,Equipment fault
1140004,CESSNOCK,9/08/2014,10:50 AM,129,109,Equipment fault
1140052,BANKSTOWN,9/08/2014,9:25 PM,1361,55,Equipment fault
1141145,SUTHERLAND,12/08/2014,6:32 PM,78,63,Environmental
1141156,MARRICKVILLE,12/08/2014,7:56 PM,77,68,Environmental
1141158,BANKSTOWN,12/08/2014,7:58 PM,54,49,Equipment fault
1141172,GOSFORD,12/08/2014,9:46 PM,671,34,Environmental
1141186,MOSMAN,12/08/2014,10:17 PM,1410,79,Equipment fault
1141200,RANDWICK,13/08/2014,6:55 AM,61,170,Equipment fault
1141246,CESSNOCK,13/08/2014,8:30 AM,100,10,Operating fault
1141311,BANKSTOWN,13/08/2014,9:57 AM,701,94,Equipment fault
1141623,KU-RING-GAI,13/08/2014,7:27 PM,53,503,Environmental
1141665,BANKSTOWN,13/08/2014,11:03 PM,90,69,Third party
1141703,MUSWELLBROOK,14/08/2014,8:17 AM,230,9,Operating fault
1142078,GOSFORD,15/08/2014,4:40 AM,1585,6,Environmental
1142602,BANKSTOWN,16/08/2014,11:12 PM,2931,100,Equipment fault
1142611,HORNSBY,17/08/2014,12:27 AM,242,104,Environmental
1142656,WAVERLEY,17/08/2014,7:00 AM,69,240,Environmental
1142789,WOOLLAHRA,18/08/2014,5:03 AM,1395,63,Equipment fault
1142823,AUBURN,18/08/2014,8:18 AM,710,157,Equipment fault
1142864,ASHFIELD,18/08/2014,8:51 AM,64,138,Environmental
1142916,KU-RING-GAI,18/08/2014,9:25 AM,1080,65,Environmental
1142971,ROCKDALE,18/08/2014,9:55 AM,69,245,Environmental
1143001,ROCKDALE,18/08/2014,10:10 AM,393,150,Equipment fault
1143029,KU-RING-GAI,18/08/2014,10:22 AM,91,112,Environmental
1143076,LEICHHARDT,18/08/2014,10:54 AM,866,62,Equipment fault
1143096,MARRICKVILLE,18/08/2014,10:59 AM,103,146,Third party
1143129,KOGARAH,18/08/2014,11:32 AM,50,177,Environmental
1143246,NORTH SYDNEY,18/08/2014,1:02 PM,128,98,Equipment fault
1143079,CANTERBURY,18/08/2014,2:12 PM,1815,123,Equipment fault
1143354,WYONG,18/08/2014,2:47 PM,1377,140,Equipment fault
1143398,NORTH SYDNEY,18/08/2014,3:30 PM,128,396,Equipment fault
1143261,HURSTVILLE,18/08/2014,3:51 PM,53,41,Environmental
