Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
1021515,HORNSBY,1/10/2013,9:56 AM,835,5,Environmental
1021520,WYONG,1/10/2013,10:09 AM,67,176,Environmental
1021622,HORNSBY,1/10/2013,12:07 PM,600,84,Environmental
1021603,HORNSBY,1/10/2013,12:08 PM,579,175,Environmental
1021608,RANDWICK,1/10/2013,12:15 PM,63,440,Third party
1022367,LAKE MACQUARIE,1/10/2013,12:24 PM,1036,92,Equipment fault
1021636,GOSFORD,1/10/2013,12:25 PM,558,"1,379",Environmental
1021643,CESSNOCK,1/10/2013,12:26 PM,1102,114,Equipment fault
1021714,HORNSBY,1/10/2013,12:27 PM,643,183,Environmental
1021715,WYONG,1/10/2013,12:28 PM,231,458,Environmental
1021798,WYONG,1/10/2013,12:29 PM,149,56,Environmental
1021604,HORNSBY,1/10/2013,12:32 PM,407,18,Environmental
1021662,PITTWATER,1/10/2013,12:32 PM,324,86,Environmental
1021680,WARRINGAH,1/10/2013,12:40 PM,68,58,Environmental
1021697,UPPER HUNTER,1/10/2013,12:40 PM,683,174,Equipment fault
1021738,WYONG,1/10/2013,12:41 PM,1201,209,Environmental
1021731,GOSFORD,1/10/2013,12:42 PM,129,266,Environmental
1021701,WYONG,1/10/2013,12:43 PM,2376,177,Environmental
1021709,WYONG,1/10/2013,12:43 PM,2160,72,Environmental
1021712,SUTHERLAND,1/10/2013,12:48 PM,84,62,Environmental
1021790,MUSWELLBROOK,1/10/2013,12:51 PM,270,187,Equipment fault
1021744,GOSFORD,1/10/2013,12:52 PM,729,605,Environmental
1021948,CESSNOCK,1/10/2013,1:13 PM,1151,73,Equipment fault
1021827,BANKSTOWN,1/10/2013,1:14 PM,63,121,Environmental
1021835,GOSFORD,1/10/2013,1:17 PM,111,127,Equipment fault
1021852,AUBURN,1/10/2013,1:25 PM,73,110,Environmental
1021855,WYONG,1/10/2013,1:26 PM,66,498,Environmental
1021886,SINGLETON,1/10/2013,1:40 PM,70,190,Equipment fault
1021882,MARRICKVILLE,1/10/2013,1:41 PM,56,174,Environmental
1021888,WARRINGAH,1/10/2013,1:46 PM,81,158,Environmental
1021907,KU-RING-GAI,1/10/2013,1:49 PM,861,78,Environmental
1021923,LEICHHARDT,1/10/2013,2:01 PM,52,134,Environmental
1022371,LAKE MACQUARIE,1/10/2013,2:02 PM,1000,10,Equipment fault
1022045,KOGARAH,1/10/2013,3:24 PM,84,195,Environmental
1022056,NEWCASTLE,1/10/2013,3:28 PM,115,196,Equipment fault
1022083,HORNSBY,1/10/2013,3:38 PM,91,86,Environmental
1021997,KU-RING-GAI,1/10/2013,3:48 PM,557,51,Environmental
1022087,SYDNEY,1/10/2013,3:48 PM,80,122,Environmental
1022093,HORNSBY,1/10/2013,3:54 PM,77,125,Environmental
1022059,SUTHERLAND,1/10/2013,4:02 PM,133,151,Environmental
1022190,SINGLETON,1/10/2013,5:20 PM,170,294,Equipment fault
1022215,PORT STEPHENS,1/10/2013,5:45 PM,83,75,Equipment fault
1022251,HORNSBY,1/10/2013,6:35 PM,126,197,Environmental
1022260,WYONG,1/10/2013,7:15 PM,54,870,Equipment fault
1022314,HUNTERS HILL,2/10/2013,12:35 AM,14594,72,Environmental
1022434,LAKE MACQUARIE,2/10/2013,9:14 AM,92,160,Third party
1022534,KU-RING-GAI,2/10/2013,10:55 AM,92,82,Environmental
1022810,SUTHERLAND,2/10/2013,10:51 PM,1705,80,Environmental
1022883,UPPER HUNTER,3/10/2013,8:55 AM,113,108,Environmental
1023013,UPPER HUNTER,3/10/2013,11:48 AM,683,103,Equipment fault
1023046,BANKSTOWN,3/10/2013,11:59 AM,62,150,Third party
1023065,AUBURN,3/10/2013,12:09 PM,1233,76,Equipment fault
1023118,GOSFORD,3/10/2013,12:38 PM,2728,71,Environmental
1023151,GOSFORD,3/10/2013,12:55 PM,148,165,Equipment fault
1023282,WARRINGAH,3/10/2013,6:00 PM,52,395,Equipment fault
1023616,WOOLLAHRA,4/10/2013,1:40 PM,83,80,Environmental
1023673,CESSNOCK,4/10/2013,4:10 PM,89,84,Environmental
1023797,WARRINGAH,4/10/2013,10:01 PM,81,353,Equipment fault
1023883,SYDNEY,5/10/2013,4:38 PM,639,63,Equipment fault
1023882,HORNSBY,5/10/2013,7:17 PM,55,14,Environmental
1023913,LAKE MACQUARIE,6/10/2013,3:14 AM,1569,70,Environmental
1023979,ROCKDALE,6/10/2013,3:53 PM,681,73,Environmental
1024006,WYONG,6/10/2013,6:31 PM,1072,66,Equipment fault
1024040,MAITLAND,7/10/2013,3:52 AM,817,72,Environmental
1024124,WYONG,7/10/2013,5:42 PM,78,38,Environmental
1024141,CANTERBURY,8/10/2013,1:45 AM,1285,122,Equipment fault
1024142,LAKE MACQUARIE,8/10/2013,4:07 AM,135,92,Equipment fault
1024358,WARRINGAH,8/10/2013,12:47 PM,1893,13,Equipment fault
1024360,WARRINGAH,8/10/2013,12:47 PM,1140,13,Equipment fault
1024530,WYONG,8/10/2013,4:34 PM,586,58,Equipment fault
1024601,CESSNOCK,8/10/2013,9:41 PM,9750,94,Environmental
1024631,CANTERBURY,9/10/2013,4:39 AM,1816,76,Equipment fault
1024936,BANKSTOWN,9/10/2013,2:40 PM,1704,36,Environmental
1025034,CANTERBURY,9/10/2013,4:42 PM,79,77,Third party
1025109,PORT STEPHENS,10/10/2013,8:02 AM,109,107,Equipment fault
1025162,WILLOUGHBY,10/10/2013,10:06 AM,900,75,Third party
1025167,SUTHERLAND,10/10/2013,10:18 AM,94,71,Environmental
1025277,CESSNOCK,10/10/2013,12:35 PM,570,52,Environmental
1025301,WYONG,10/10/2013,1:37 PM,55,38,Equipment fault
