Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
882665,MUSWELLBROOK,1/10/2012,12:19 AM,71,296,Third party
882766,HURSTVILLE,1/10/2012,2:54 PM,2299,74,Equipment fault
882768,RYDE,1/10/2012,3:19 PM,72,146,Equipment fault
882793,ASHFIELD,1/10/2012,8:37 PM,75,82,Environmental
882797,RYDE,1/10/2012,9:27 PM,3256,57,Environmental
882824,GOSFORD,1/10/2012,9:52 PM,1612,69,Environmental
882835,RYDE,1/10/2012,10:31 PM,97,262,Equipment fault
882841,GOSFORD,1/10/2012,11:01 PM,68,105,Environmental
882844,RYDE,2/10/2012,1:41 AM,148,39,Equipment fault
884267,SYDNEY,2/10/2012,9:14 AM,86,96,Equipment fault
882988,SYDNEY,2/10/2012,10:23 AM,52,187,Environmental
883293,MAITLAND,2/10/2012,3:46 PM,82,54,Environmental
883365,SYDNEY,2/10/2012,10:31 PM,1382,583,Equipment fault
883574,UPPER HUNTER,3/10/2012,11:37 AM,254,18,Operating fault
883579,NEWCASTLE,3/10/2012,11:52 AM,1509,56,Equipment fault
883899,WOOLLAHRA,3/10/2012,2:24 PM,74,96,Third party
883828,WYONG,3/10/2012,10:17 PM,1699,80,Environmental
883833,CANTERBURY,4/10/2012,5:06 AM,110,119,Environmental
884217,RYDE,4/10/2012,7:25 PM,163,50,Third party
884241,SYDNEY,5/10/2012,2:29 AM,68,65,Third party
884550,RYDE,5/10/2012,7:28 PM,113,52,Environmental
884566,NORTH SYDNEY,5/10/2012,10:31 PM,112,131,Equipment fault
884592,KU-RING-GAI,6/10/2012,8:51 AM,520,51,Equipment fault
884638,WAVERLEY,6/10/2012,12:16 PM,2377,49,Equipment fault
884666,HORNSBY,6/10/2012,3:14 PM,1250,50,Environmental
884688,KU-RING-GAI,6/10/2012,4:10 PM,55,50,Environmental
884703,BOTANY,6/10/2012,6:49 PM,25007,126,Equipment fault
884792,SINGLETON,7/10/2012,12:17 PM,117,144,Equipment fault
884854,WYONG,7/10/2012,9:23 PM,2134,70,Equipment fault
884869,RYDE,7/10/2012,11:52 PM,63,782,Environmental
885415,HORNSBY,8/10/2012,9:58 PM,73,65,Third party
885441,WOOLLAHRA,9/10/2012,9:40 AM,53,600,Customer installation
885781,WARRINGAH,9/10/2012,4:39 PM,1536,49,Environmental
885796,GOSFORD,9/10/2012,5:11 PM,288,79,Equipment fault
885977,LAKE MACQUARIE,10/10/2012,10:03 AM,241,76,Operating fault
886154,NEWCASTLE,10/10/2012,1:37 PM,257,154,Equipment fault
886358,HORNSBY,11/10/2012,4:22 AM,465,97,Equipment fault
886364,SYDNEY,11/10/2012,6:07 AM,102,578,Equipment fault
897689,SYDNEY,11/10/2012,10:00 AM,59,105,Equipment fault
886624,GOSFORD,11/10/2012,12:56 PM,71,143,Equipment fault
887195,ROCKDALE,11/10/2012,2:01 PM,57,84,Third party
886848,WYONG,11/10/2012,6:29 PM,164,131,Equipment fault
887086,RANDWICK,12/10/2012,12:21 PM,205,134,Equipment fault
887202,WYONG,12/10/2012,2:26 PM,74,120,Environmental
887301,CANTERBURY,12/10/2012,5:04 PM,75,59,Environmental
887327,RANDWICK,12/10/2012,11:30 PM,90,10,Environmental
887409,LAKE MACQUARIE,13/10/2012,11:52 AM,80,30,Equipment fault
887506,RYDE,13/10/2012,11:59 PM,945,6,Equipment fault
887516,WYONG,14/10/2012,4:32 AM,1197,35,Environmental
887535,SINGLETON,14/10/2012,8:56 AM,79,54,Environmental
887612,SYDNEY,15/10/2012,4:31 AM,501,92,Equipment fault
887616,PITTWATER,15/10/2012,5:54 AM,1883,82,Equipment fault
899701,PITTWATER,15/10/2012,7:43 AM,1859,41,Equipment fault
887819,CANTERBURY,15/10/2012,11:52 AM,54,153,Operating fault
888083,WAVERLEY,15/10/2012,6:40 PM,103,105,Vandalism
888102,WYONG,15/10/2012,11:43 PM,937,68,Equipment fault
888112,MAITLAND,16/10/2012,6:54 AM,670,89,Equipment fault
888199,SUTHERLAND,16/10/2012,9:27 AM,126,78,Equipment fault
888219,RYDE,16/10/2012,9:45 AM,171,267,Equipment fault
888442,ROCKDALE,16/10/2012,1:28 PM,1990,44,Environmental
888631,RYDE,16/10/2012,11:59 PM,63,86,Environmental
888804,PORT STEPHENS,17/10/2012,10:53 AM,1990,214,Equipment fault
888857,RYDE,17/10/2012,12:01 PM,156,141,Environmental
888879,SINGLETON,17/10/2012,12:21 PM,139,353,Operating fault
889028,HURSTVILLE,17/10/2012,3:35 PM,365,60,Equipment fault
889055,HORNSBY,17/10/2012,4:55 PM,900,96,Environmental
889115,HURSTVILLE,18/10/2012,12:13 AM,1317,81,Environmental
889263,KOGARAH,18/10/2012,11:19 AM,94,66,Environmental
889536,PORT STEPHENS,18/10/2012,6:55 PM,130,15,Equipment fault
889742,CANADA BAY,19/10/2012,11:38 AM,641,28,Equipment fault
889751,WAVERLEY,19/10/2012,11:40 AM,84,125,Cable dig
889813,RYDE,19/10/2012,1:45 PM,145,75,Equipment fault
889842,SUTHERLAND,19/10/2012,2:34 PM,649,52,Equipment fault
889904,NEWCASTLE,19/10/2012,4:26 PM,56,64,Equipment fault
889921,GOSFORD,19/10/2012,5:13 PM,539,38,Environmental
890008,ASHFIELD,20/10/2012,10:23 AM,6565,56,Equipment fault
890061,MARRICKVILLE,20/10/2012,3:53 PM,86,66,Environmental
890112,NORTH SYDNEY,21/10/2012,12:12 AM,713,79,Equipment fault
890200,SINGLETON,21/10/2012,8:02 PM,334,368,Equipment fault
891087,KU-RING-GAI,22/10/2012,12:36 PM,684,56,Environmental
890517,HURSTVILLE,22/10/2012,1:28 PM,184,121,Environmental
890575,CANTERBURY,22/10/2012,1:57 PM,93,147,Environmental
890638,GOSFORD,22/10/2012,2:53 PM,826,90,Environmental
890650,WYONG,22/10/2012,2:55 PM,92,59,Environmental
890652,HORNSBY,22/10/2012,3:04 PM,953,113,Environmental
890691,NEWCASTLE,22/10/2012,3:30 PM,56,400,Environmental
890725,WYONG,22/10/2012,3:46 PM,1132,81,Environmental
891104,LAKE MACQUARIE,22/10/2012,3:50 PM,68,370,Environmental
890738,GOSFORD,22/10/2012,3:55 PM,1701,98,Equipment fault
890771,AUBURN,22/10/2012,4:13 PM,1810,129,Environmental
890501,LAKE MACQUARIE,22/10/2012,4:26 PM,169,112,Environmental
890799,LAKE MACQUARIE,22/10/2012,4:33 PM,318,205,Environmental
890845,LAKE MACQUARIE,22/10/2012,4:55 PM,1387,98,Environmental
